order_id,day_of_week,store,on_demand,products_by_units,products_by_kgs,shopper_picking_speed,shopper_found_rate,distance,total_minutes
6abd5e28d01b7c733fe37485294235dc,martes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,17,10,1.56,0.8564,1.067510105,91.800861
08824f255d7c9f117acf5b40c4bb69a8,martes,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,31,1,1.56,0.8564,0.493138727,72.452522
7bce5a91c467814635dee0763c9b8eaf,martes,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,28,7,1.56,0.8564,0.164497922,71.888651
b95d24a9755c0c9411a1a5375fd15b4e,viernes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,12,0,1.56,0.8564,0.817890791,110.255498
a989397fa5368fdf60ad784167bb7da8,sabado,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,13,14,1.56,0.8564,0.368077099,90.798662
42916e8238f90a1d88921a258a0f16ef,sabado,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,29,21,1.56,0.8564,1.110562514,117.20092
06ccc6a69092f478177bb62300fcfd4e,sabado,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,37,2,1.56,0.8564,1.536901644,121.024636
4f484c09362ab84055f4fd173214ae84,sabado,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,53,24,1.56,0.8564,0.498202716,159.671425
bedf7baa4dedd8698cbdc5094f282b08,lunes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,20,9,1.56,0.8564,1.280486027,89.397538
cffe89dedb248570111aaad180e45908,martes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,54,22,1.56,0.8564,1.604487591,217.849715
5295c79e853eecfe040e7b28b8d2dccf,miercoles,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,15,20,2.03,0.8337,0.446563785,155.40875
9a0efe5290d8876bb7247821e6c55cd6,viernes,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,6,0,2.03,0.8337,0.318966733,74.77924
e6bbd2a5c996a7a8d5397ec4b28839f0,lunes,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,16,2,2.03,0.8337,0.301274955,89.579365
51830041e16e00e4ee14d09c0727181f,lunes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,14,1,2.03,0.8337,3.39170029,98.169576
d3f7be6d64eae7405b7bf024e04807a2,martes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,12,5,2.06,0.8571,1.961933465,124.778761
65261c0be2594895c4c6b46bb5035b8b,miercoles,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,11,2,2.06,0.8571,0.952051035,82.173236
15827949377d2fd6bf28fffa35be448c,domingo,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,25,10,2.06,0.8571,0.857532876,113.072647
fee653dd1e2a6bccb5fb9684cf74e441,lunes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,21,7,2.06,0.8571,1.839904642,132.470016
589850a09f8ffcd4e94867999a4551c6,miercoles,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,3,2,2.06,0.8571,1.352295684,75.000884
adc620e70945b4d408b25d2868ccc329,miercoles,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,22,2,2.06,0.8571,0.355467653,130.973718
4b0dca884f729633f1dc7bea83834c6c,jueves,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,6,1,2.06,0.8571,2.600563546,94.423334
2374d7f00f552807253c29a67fe47b11,martes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,15,19,1.89,0.8625,0.15851924,118.821798
7fdf9f77e5a07869ec0d6fa377cded66,martes,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,13,0,1.89,0.8625,0.770034614,114.033157
b92c891e797334d341b4b788cac7a520,jueves,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,5,5,1.89,0.8625,1.32433382,69.093318
a2565bb7bb0079c873509aa80c0ee7ee,lunes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,31,16,1.89,0.8625,0.101769889,129.29683
a2c077b62c134367107dd9e1ed332168,martes,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,6,5,1.55,0.8586,0.201197271,56.655221
ff7a33bca26127dafef8a94ca6fbf161,sabado,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,29,14,1.55,0.8586,0.102606984,130.393896
6ceec93f597c53b8dc533b47e65e141a,sabado,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,6,0,1.55,0.8586,4.306933102,66.04765
0547b20b7d7592ddf0aef7534c2b5cad,martes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,31,7,1.55,0.8586,0.983072051,125.593007
2f8a5aaa8062e42dfa7cf4f057d902fc,viernes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,7,10,2.43,0.8652,2.299110884,87.236624
1e01d401dcc20aed61bd4380c1f10061,sabado,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,19,2,2.43,0.8652,5.203730217,131.044388
2c88de9af8efcdae3524d886e37fe3f9,domingo,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,1,5,2.43,0.8652,1.965664681,62.900244
82c821c270bb3882d206efb5b2fd528c,domingo,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,1,0,2.43,0.8652,0.209849169,47.62394
31cf67b8acfec17e0d71a9fa9af2ea4d,lunes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,18,8,2.43,0.8652,2.084360401,88.605788
4ff53e2717d39dc8fc54ae1e0e186b7c,martes,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,1,0,2.43,0.8652,2.472195532,50.762451
318b8c5e06d05b61976bfb437ffd68c2,martes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,17,4,2.43,0.8652,0.650521419,92.382241
654869f94be5c0a4224ca624822d1bf6,martes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,10,3,2.5,0.9015,1.064947316,74.224827
62d8cfa61e4e83c8c3bdbaac5618ff21,lunes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,4,3,2.5,0.9015,6.117866773,87.566797
473acb8e26d335ed938b11fea839fb04,lunes,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,11,1,2.5,0.9015,0.326568593,65.837594
d311b812725e4b5b775fbda9b4570281,lunes,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,15,0,2.5,0.9015,0.300492683,71.697854
a62b1e9f7638292b3fdbedd48b4132c5,martes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,29,14,2.5,0.9015,0.182593629,117.264667
3c205572cdf31497453a27ba862414aa,jueves,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,2,0,1.47,0.8702,0.346096836,103.917095
d7d3212b3065ce384c53821a7989e1d1,viernes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,7,0,1.47,0.8702,0.675512715,73.742286
26d340e123f82b1be497a5baf660465d,jueves,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,17,6,1.47,0.8702,3.278350264,105.607198
fca71415baa9f8b7c3f9d5a04ff5ae47,lunes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,26,0,1.64,0.8692,4.33383641,153.663968
ef586c4331f3a1379dd65c467dd689d6,lunes,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,9,3,1.64,0.8692,1.221554127,91.313248
5668edd9e91458736ce5bd3a06c04231,miercoles,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,14,3,1.64,0.8692,0.38070705,105.320974
d8bb2ad96d030bdd54798bacbbbb1c75,viernes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,14,17,1.55,0.9226,0.651812184,105.025323
f33a241622b0222340c52606879150d0,lunes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,13,20,1.55,0.9226,0.047274326,110.707404
64215d3a1f8cd6229d7fd2744e829805,lunes,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,22,3,1.55,0.9226,2.781632831,100.541836
ba8444278cc2535fdc9febc9cf5b8cd1,martes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,20,12,0.8,0.8521,0.852582698,84.696572
2b359cfc8d894e31db164ca71c4904ac,martes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,10,2,0.8,0.8521,0.294709028,39.056521
10e4e8e4e9966914f04afcc4d676b2cb,martes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,14,1,0.8,0.8521,2.153265566,65.38556
3193c87602330387c48a4d80423280b0,martes,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,28,9,0.8,0.8521,0.212351334,79.93048
8c182dac42ac1aed0b0db86f11528f17,martes,60e4c4e1c1a8bc79123738227b9d0b08,TRUE,18,5,0.8,0.8521,2.976851922,62.180678
93155d27241a94e72ba2b434ad8c7a2a,miercoles,60e4c4e1c1a8bc79123738227b9d0b08,FALSE,24,1,0.8,0.8521,1.389536212,97.294505
